"data.id" "name" "n" "p" "is_biology" "description" "comment"
"1" 919 "rabe_166" 40 3 NA "This file contains data from Regression Analysis By Example, 2nd Edition, by Samprit Chatterjee and Bertram Price, John Wiley, 1991. Data sets have names of the form 'rabe.xxx' where xxx is the page number in the book where the data occurs." "academic book toy example"
"2" 791 "diabetes_numeric" 43 3 1 "This data set concerns the study of the factors affecting patterns of insulin-dependent diabetes mellitus in children. The objective is to investigate the dependence of the level of serum C-peptide on the various other factors in order to understand the patterns of residual" "ok"
"3" 905 "chscase_adopt" 39 4 NA "chscase" "seems so, academic book"
"4" 790 "elusage" 55 3 NA "Dataset from Smoothing Methods in Statistics (ftp stat.cmu.edu/datasets)" "Electricity usage from meteo"
"5" 729 "visualizing_slope" 44 4 0 "This S dump contains 22 data sets from the book Visualizing Data published by Hobart Press " "nc"
"6" 887 "mbagrade" 61 3 0 "Dataset from Smoothing Methods in Statistics (ftp stat.cmu.edu/datasets)" "Student Grade"
"7" 713 "vineyard" 52 4 1 "Dataset from Smoothing Methods in Statistics (ftp stat.cmu.edu/datasets) Simonoff, J.S. (1996). Smoothing Methods in Statistics. New York: Springer-Verlag." "Wine"
"8" 848 "schlvote" 38 6 0 "" "tax "
"9" 928 "rabe_97" 46 5 NA "rabe" "academic book toy example"
"10" 817 "diggle_table_a1" 48 5 1 "DATA-SETS FROM DIGGLE, P.J. (1990). TIME SERIES : A BIOSTATISTICAL INTRODUCTION. Oxford University Press." "nc"
"11" 835 "analcatdata_vehicle" 48 5 0 "analcat" "nc"
"12" 346 "aids" 50 5 1 "Data originating from the book \Analyzing Categorical Data\ by Jeffrey S. Simonoff." "nc"
"13" 942 "chscase_health" 50 5 1 "chscase" "nc"
"14" 946 "visualizing_ethanol" 88 3 1 "This S dump contains 22 data sets from the book Visualizing Data published by Hobart Press (books@hobart.com). The dump was created by data.dump()" "Ethanol data"
"15" 1015 "confidence" 72 4 0 "" "business"
"16" 787 "witmer_census_1980" 50 6 1 "A shar archive of data from the book Data Analysis: An Introduction(1992) Prentice Hall bu Jeff Witmer. Submitted by Jeff Witmer (fwitmer@ocvaxa.cc.oberlin.edu) [28/Jun/94] (29 kbytes)" "Age data"
"17" 874 "rabe_131" 50 6 0 "rabe" "nc"
"18" 836 "sleuth_case1102" 34 9 1 "Contains 110 data sets from the book 'The Statistical Sleuth' by Fred Ramsey and Dan Schafer; Duxbury Press, 1997" "tumor data"
"19" 857 "bolts" 40 8 0 "Data from an experiment on the affects of machine adjustments on the time to count bolts. Data appear as the STATS (Issue 10) Challenge." "nc"
"20" 459 "analcatdata_asbestos" 83 4 1 "analcat" "exposure to â€¦"
"21" 472 "lupus" 87 4 1 "87 persons with lupus nephritis. Followed up 15+ years. 35 deaths. Var = duration of disease. Over 40 baseline variables avaiable from authors. Description : For description of this data set arising from 87 persons with lupus nephritis followed for 15+ years after an initial renal biopsy (the starting point of follow-up) see the introduction to Abrahamowicz, MacKenzie and Esdaile (December 1996 issue)" "lupus"
"22" 476 "analcatdata_bankruptcy" 50 7 0 "analcat" "nc"
"23" 929 "rabe_176" 70 5 NA "rabe" ""
"24" 780 "rabe_265" 51 7 NA "rabe" ""
"25" 782 "rabe_266" 120 3 NA "rabe" ""
"26" 755 "sleuth_ex1605" 62 6 1 "sleuth" ""
"27" 777 "sleuth_ex1714" 47 8 0 "sleuth" ""
"28" 867 "visualizing_livestock" 130 3 0 "" "livestock per country"
"29" 894 "rabe_148" 66 6 NA "rabe" ""
"30" 865 "analcatdata_neavote" 100 4 0 "analcat" ""
"31" 875 "analcatdata_chlamydia" 100 4 1 "analcat" ""
"32" 892 "sleuth_case1201" 50 8 0 "sleuth" ""
"33" 1013 "analcatdata_challenger" 138 3 0 "analcat" "meteo"
"34" 893 "visualizing_hamster" 73 6 1 "" "hamster"
"35" 736 "visualizing_environmental" 111 4 0 "" "meteo"
"36" 938 "sleuth_ex1221" 42 11 0 "sleuth" "geography"
"37" 448 "analcatdata_boxing1" 120 4 0 "analcat" "boxung"
"38" 683 "sleuth_ex2015" 60 8 NA "sleuth" ""
"39" 731 "baskball" 96 5 0 "" "basketball"
"40" 467 "analcatdata_japansolvent" 52 10 NA "analcat" ""
"41" 815 "chscase_vine1" 52 10 NA "chscase" ""
"42" 924 "humandevel" 130 4 0 "" "United Nation GDP"
"43" 885 "transplant" 131 4 1 "Data on patient deaths within 30 days of surgery in 131 U.S. hospitals. " "US surgery"
"44" 444 "analcatdata_boxing2" 132 4 0 "analcat" "Boxing"
"45" 921 "analcatdata_seropositive" 132 4 1 "analcat" "Aids"
"46" 945 "kidney" 76 7 1 "Data on the recurrence times to infection, at the point of insertion of the catheter, for kidney patients using portable dialysis equipment. Catheters may be removed for reasons other than infection, in which case the observation is censored. Each patient has exactly 2 observations." "Kidney infection"
"47" 771 "analcatdata_michiganacc" 108 5 NA "analcat" ""
"48" 784 "newton_hema" 140 4 1 "Data on fluctuating proportions of marked cells in marrow from heterozygous Safari cats from a study of early hematopoiesis." "cells_percentage"
"49" 804 "hutsof99_logis" 70 8 0 "The Multivariate Social Scientist: Introductory Statistics Using Generalized Linear Models." "child witness data"
"50" 1463 "blogger" 100 6 0 "" ""
"51" 714 "fruitfly" 125 5 1 "" ""
"52" 891 "sleuth_case1202" 93 7 NA "sleuth" ""
"53" 974 "hayes-roth" 132 5 0 "" "Hobbies"
"54" 895 "chscase_geyser1" 222 3 0 "chscase" "Geysers"
"55" 461 "analcatdata_creditscore" 100 7 0 "analcat" "Income data"
"56" 927 "hutsof99_child_witness" 42 17 0 "The Multivariate Social Scientist: Introductory Statistics Using Generalized Linear Models." ""
"57" 801 "chscase_funds" 185 4 0 "chscase" ""
"58" 859 "analcatdata_gviolence" 74 10 0 "analcat" ""
"59" 464 "prnn_synth" 250 3 0 "" "Synthetic data"
"60" 969 "iris" 150 5 1 "" "Iris dataset"
"61" 811 "rmftsa_ctoarrivals" 264 3 0 "Regression Models for Time Series Analysis" ""
"62" 1055 "cm1_req" 89 9 0 "" ""
"63" 964 "pasture" 36 23 1 "" "Pasture production ?Z"
"64" 747 "servo" 167 5 0 "" ""
"65" 1455 "acute-inflammations" 120 7 1 "The data was created by a medical expert as a data set to test the expert system, which will perform the presumptive diagnosis of two diseases of the urinary system." "Unrinary system"
"66" 759 "analcatdata_olympic2000" 66 13 0 "" "Olympic"
"67" 890 "cloud" 108 8 0 "" "Clouds in Tasmania"
"68" 955 "tae" 151 6 0 "" "Teaching assistant evaluation"
"69" 682 "sleuth_ex2016" 87 11 NA "sleuth" ""
"70" 882 "pollution" 60 16 1 "" "pollution data"
"71" 748 "analcatdata_wildcat" 163 6 0 "analcat" "Strikes"
"72" 1473 "fertility" 100 10 1 "" ""
"73" 479 "analcatdata_cyyoung9302" 92 11 NA "analcat" ""
"74" 902 "sleuth_case2002" 147 7 NA "analcat" ""
